******* Consolidated Results ********
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=30, score=0.87219)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=180, bs=50, score=0.87219)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=150, bs=20, score=0.87117)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=180, bs=30, score=0.87117)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=200, bs=30, score=0.87117)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=180, bs=20, score=0.87014)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=30, score=0.87014)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=50, score=0.87014)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=180, bs=20, score=0.87014)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=50, score=0.87014)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=20, score=0.86912)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=30, score=0.86912)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=200, bs=30, score=0.86912)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=120, bs=20, score=0.86912)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=120, bs=25, score=0.86912)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=50, score=0.86810)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=200, bs=50, score=0.86810)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=120, bs=30, score=0.86810)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=200, bs=25, score=0.86810)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=20, score=0.86708)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=120, bs=25, score=0.86708)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=20, score=0.86708)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=25, score=0.86605)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=180, bs=30, score=0.86605)
